Document/Patent number,Title,Inventor name,Publication date
US-11403696-B2,Client centric viewer,Roberts; Andrew et al.,2022-08-02
US-11405391-B2,Apparatus and methods for micro-segmentation of an enterprise internet-of-things network,Bowling; John Ryan,2022-08-02
US-11405385-B2,Alternate user communication routing for a one-time credential,Satija; Dharmender Kumar et al.,2022-08-02
US-11403601-B2,Performing secure maintenance processing on an automated machine,Dryer; Eric et al.,2022-08-02
US-11403374-B2,User-specific watermark for maintaining security of data files,Liuzzo; Elizabeth R. et al.,2022-08-02
US-11403634-B2,Real-time interaction based assistance interface,King; Christopher Nicholas et al.,2022-08-02
US-11405414-B2,Automated threat assessment system for authorizing resource transfers between distributed IoT components,Kursun; Eren,2022-08-02
US-11403315-B2,Reporting and knowledge discovery for databases,Coady; Jason Sy et al.,2022-08-02
US-11405211-B2,Biometric session tokens for secure user authentication,Yarabolu; Vijay Kumar,2022-08-02
US-11404051-B2,Textual analysis system for automatic language proficiency assessment,Krishnamoorthy; Madhusudhanan et al.,2022-08-02
US-11405418-B2,Automated distributed denial of service attack detection and prevention,Yarabolu; Vijay Kumar,2022-08-02
US-11403537-B2,Intelligent agent,Chauhan; Sandeep Kumar et al.,2022-08-02
US-11403267-B2,Dynamic transformation code prediction and generation for unavailable data element,Medisetti; Venkata Durga Rao et al.,2022-08-02
US-11403340-B2,Hierarchical multi-tier language processing platform,Andar; Ravisha et al.,2022-08-02
US-11403072-B1,Mobile application development device,Pillay; Sanjay et al.,2022-08-02
US-20220239546-A1,SYSTEM FOR INTEGRATION AND INTEROPERABILITY BETWEEN DISPARATE DISTRIBUTED SERVER TECHNOLOGIES,Carao; Alejandro Jose et al.,2022-07-28
US-20220237378-A1,SYSTEM AND METHOD FOR NATURAL LANGUAGE PROCESSING WITH PRETRAINED LANGUAGE MODELS,EL ASRI; Layla et al.,2022-07-28
US-20220237683-A1,GEOGRAPHIC PREDICTIVE INDIRECT DISTRIBUTION NETWORK,Castinado; Joseph Benjamin et al.,2022-07-28
US-20220237057-A1,CODE CONSOLIDATION SYSTEM,Ogrinz; Michael Emil et al.,2022-07-28
US-20220237578-A1,Multi-Computer Processing System for Dynamic Event Control,Iley; Dean Alan et al.,2022-07-28
US-20220237584-A1,SMARTGLASSES-TO-SMARTGLASSES PAYMENT SYSTEMS,Gupta; Saurabh,2022-07-28
US-20220237035-A1,"SYSTEM FOR ELECTRONIC IDENTIFICATION OF ATTRIBUTES FOR PERFORMING MAINTENANCE, MONITORING, AND DISTRIBUTION OF DESIGNATED RESOURCE ASSETS",Banerjee; Sayan et al.,2022-07-28
US-20220239651-A1,SYSTEM AND METHOD FOR PRIORITIZATION OF TEXT REQUESTS IN A QUEUE BASED ON CONTEXTUAL AND TEMPORAL VECTOR ANALYSIS,Maringanti; Sreekanth Raghuveer et al.,2022-07-28
US-20220239669-A1,SYSTEM FOR PROVIDING ENHANCED CRYPTOGRAPHY BASED RESPONSE MECHANISM FOR MALICIOUS ATTACKS,Sloane; Brandon et al.,2022-07-28
US-11397929-B2,"System for executing, securing, and non-repudiation of pooled conditional smart contracts over distributed blockchain network",Rangarajan; Prabakar et al.,2022-07-26
US-11398101-B2,Item validation and image evaluation system,"Mills, Jr.; Robert E. et al.",2022-07-26
US-11399015-B2,Data security tool,Taylor; Jo-Ann et al.,2022-07-26
US-11397860-B2,Aggregated sentiment analysis system for threat protection,Kvochko; Elena et al.,2022-07-26
US-11397905-B2,System for validated tracking and management of events associated with equipment during lifetime usage,Hill; Christine Meloro et al.,2022-07-26
US-11397942-B2,Online interaction security technology,Gupta; Saurabh,2022-07-26
US-11398997-B2,System for information transfer between communication channels,Chauhan; Sandeep Kumar et al.,2022-07-26
US-20220229898-A1,TAMPER-EVIDENT DEVICES EQUIPPED WITH SECURE RE-IMAGE FILE(S),Vemireddy; Vijaya L. et al.,2022-07-21
US-20220229770-A1,Conducting Software Testing Using Dynamically Masked Data,Lightowler; Ben et al.,2022-07-21
US-20220230236-A1,"ARTIFICIAL INTELLIGENCE (AI) ARCHITECTURE WITH SMART, AUTOMATED TRIGGERS OF INCOMING AND OUTGOING ACTIONS AND USAGE",Dolan; Heather Roseann et al.,2022-07-21
US-20220232017-A1,ARTIFICIAL INTELLIGENCE REVERSE VENDOR COLLATION,Qualls; Peggy J. et al.,2022-07-21
US-20220232016-A1,ARTIFICIAL INTELLIGENCE VULNERABILITY COLLATION,Qualls; Peggy J. et al.,2022-07-21
US-20220232019-A1,Command and Control Steganographic Communications Detection Engine,Sinks; Steven E. et al.,2022-07-21
US-20220231992-A1,SYSTEM AND METHOD FOR DETECTING FORBIDDEN NETWORK ACCESSES BASED ON ZONE CONNECTIVITY MAPPING,Diop; Sidy,2022-07-21
US-20220232018-A1,ARTIFICIAL INTELLIGENCE CORROBORATION OF VENDOR OUTPUTS,Paul; Ajay Jose et al.,2022-07-21
US-20220232030-A1,ARTIFICIAL INTELLIGENCE VENDOR SIMILARITY COLLATION,Khashab; Ghada I. et al.,2022-07-21
US-20220231847-A1,COLLABORATIVE ARCHITECTURE FOR SECURE DATA SHARING,Rangarajan; Prabakar et al.,2022-07-21
US-20220230149-A1,"ARTIFICIAL INTELLIGENCE (AI) ARCHITECTURE WITH SMART, AUTOMATED TRIGGERS OF INCOMING AND OUTGOING ACTIONS AND USAGE",Greenbacker; Robertson Walters et al.,2022-07-21
US-20220230155-A1,"ARTIFICIAL INTELLIGENCE (AI) ARCHITECTURE WITH SMART, AUTOMATED TRIGGERS OF INCOMING AND OUTGOING ACTIONS AND USAGE",Greenbacker; Robertson Walters et al.,2022-07-21
US-20220229913-A1,SYSTEM FOR SECURING ELECTRONIC DATA BY AGGREGATION OF DISTRIBUTED ELECTRONIC DATABASE ENTRIES,Mack; Nia et al.,2022-07-21
US-20220230174-A1,SYSTEM FOR ANALYZING AND RESOLVING DISPUTED DATA RECORDS,Khare; Prashant et al.,2022-07-21
US-11394735-B2,Dynamic record identification and analysis computer system with event monitoring components,Bearley; Amijo et al.,2022-07-19
US-11394557-B2,Masking identities of authorized signatories in systems and methods for sharing and signing of electronic documents,Haddad; Linda,2022-07-19
US-11392652-B2,Intelligent diagnosis and resolution of document processing failures,James; Thomas Boffin et al.,2022-07-19
US-11394733-B2,System for generation and implementation of resiliency controls for securing technology resources,Sloane; Brandon et al.,2022-07-19
US-11394801-B2,Resiliency control engine for network service mesh systems,Raman; Sundarrajan,2022-07-19
US-11394719-B2,Dynamic user access control management,Vegulla; Vijaya Kumar et al.,2022-07-19
US-11392684-B2,Authentication of user activities based on establishing communication links between network devices,Ratnakaram; Udaya Kumar Raju et al.,2022-07-19
US-11392375-B1,Optimizing software codebases using advanced code complexity metrics,Serna; Daniel Joseph et al.,2022-07-19
US-11392934-B1,Integrated scan money transfer technology,Gupta; Saurabh,2022-07-19
US-11392932-B1,Lens depiction profile technology,Gupta; Saurabh,2022-07-19
US-20220223042-A1,REAL-TIME DATA SERVICES BASED ON GEO-LOCATION INFORMATION,Nelson; Mark Allan et al.,2022-07-14
US-20220222227-A1,"CORRECTION, SYNCHRONIZATION, AND MIGRATION OF DATABASES",Thakkalapelli; Damodarrao et al.,2022-07-14
US-20220222114-A1,CENTRALIZED REPOSITORY SYSTEM FOR PERFORMING COMMUNICATION-BASED AUTHENTICATION,Glenn; Melissa Gordon,2022-07-14
US-20220222333-A1,SYSTEM AND METHOD FOR SECURING A NETWORK AGAINST MALICIOUS COMMUNICATIONS THROUGH PEER-BASED COOPERATION,Mukherjee; Maharaj,2022-07-14
US-20220222334-A1,SYSTEM AND METHODS FOR AUTOMATED SOFTWARE ANALYSIS AND CLASSIFICATION,DePree; Eric Joseph et al.,2022-07-14
US-20220222486-A1,Data Source Evaluation Platform for Improved Generation of Supervised Learning Models,Mukherjee; Maharaj et al.,2022-07-14
US-20220222677-A1,"AUTOMATED TELLER MACHINE (""ATM"") WITH FORENSIC CARD READER IDENTIFICATION VALIDATION",Nyamwange; Elvis,2022-07-14
US-20220224699-A1,CENTRALIZED TOOL FOR IDENTIFYING AND BLOCKING MALICIOUS COMMUNICATIONS TRANSMITTED WITHIN A NETWORK,Mukherjee; Maharaj,2022-07-14
US-20220222356-A1,GENERATING AND DISSEMINATING MOCK DATA FOR CIRCUMVENTING DATA SECURITY BREACHES,Mack; Nia,2022-07-14
US-20220222546-A1,Evaluating Supervised Learning Models Through Comparison of Actual and Predicted Model Outputs,Mukherjee; Maharaj et al.,2022-07-14
US-20220222549-A1,SYSTEM FOR AUTOMATED REGRESSION TESTING,Dundigalla; Srinivas et al.,2022-07-14
US-20220222568-A1,System and Method for Ascertaining Data Labeling Accuracy in Supervised Learning Systems,Mukherjee; Maharaj et al.,2022-07-14
US-20220223157-A1,SYSTEM AND METHOD FOR SINGLE-SPEAKER IDENTIFICATION IN A MULTI-SPEAKER ENVIRONMENT ON A LOW-FREQUENCY AUDIO RECORDING,DiMaria; Steven Mark,2022-07-14
US-20220222168-A1,SYSTEM FOR GENERATING A STATE INSTANCE MAP FOR AUTOMATED REGRESSION TESTING,Dundigalla; Srinivas et al.,2022-07-14
US-20220222213-A1,"CORRECTION, SYNCHRONIZATION, AND MIGRATION OF DATABASES",Randhi; Venugopala Rao et al.,2022-07-14
US-20220222648-A1,SYSTEM FOR ELECTRONIC COMPLETION OF A RESOURCE TRANSFER USING A TEMPORARY RESOURCE PATCH,Frick; Cynthia A. et al.,2022-07-14
US-11386497-B2,"Systems and methods for providing leveraged, trading-volatility-responsive, intraday balancing",Cyna; Raphael Thai-Binh et al.,2022-07-12
US-11386052-B2,System for scanning and analysis of protected electronic data using a database schema collection,Gordon; Candace R. et al.,2022-07-12
US-11388052-B2,Gateway device for monitoring deployed equipment,Castinado; Joseph Benjamin et al.,2022-07-12
US-11386797-B2,System for generation of data content based on learning reinforcement,Krishnamoorthy; Madhusudhanan et al.,2022-07-12
US-11386902-B2,System for generation and maintenance of verified data records,Keiter; Kelly Renee-Drop et al.,2022-07-12
US-11386197-B1,System and method for securing a network against malicious communications through peer-based cooperation,Mukherjee; Maharaj,2022-07-12
US-11385925-B1,System and method for provisioning hosted virtual desktop resources to remote users,Mitra; Bhaswati et al.,2022-07-12
US-11386757-B1,Automated teller machine (ATM) onlooker detection,Smith; Brian Joseph et al.,2022-07-12
US-11388264-B1,Data processing systems for data request routing,Yanan; Frank J. et al.,2022-07-12
US-11388057-B1,Agentless control system for lifecycle event management,Balar; Rahul et al.,2022-07-12
US-11388237-B1,Logical upstream preprocessing at edge node of data to be stored in a data lake,Sharma; Anirudh Kumar,2022-07-12
US-20220215379-A1,SMART CARD WITH BUILT-IN SUPPORT PROVISIONING MECHANISM,Gupta; Saurabh,2022-07-07
US-20220217122-A1,SYSTEM FOR VIRTUAL PRIVATE NETWORK AUTHENTICATION SENSITIVITY WITH READ ONLY SANDBOX INTEGRATION,Birch; Christopher Daniel,2022-07-07
US-20220214753-A1,APPARATUS AND METHODS FOR CONTACT-MINIMIZED ATM TRANSACTION PROCESSING USING RADAR-BASED GESTURE RECOGNITION AND AUTHENTICATION,Singh; Shailendra,2022-07-07
US-20220214962-A1,"SYSTEM FOR PROVIDING INTERACTIVE TOOLS FOR DESIGN, TESTING, AND IMPLEMENTATION OF SYSTEM ARCHITECTURE",Ingram; Brandon,2022-07-07
US-20220214994-A1,SYSTEM FOR OPTIMIZED ARCHIVAL USING DATA DETECTION AND CLASSIFICATION MODEL,Narayanan; Ramesh Lakshmi et al.,2022-07-07
US-20220215005-A1,TRUSTED CONTROL AUTOMATION PLATFORM,Bidkar; Prashant Anna et al.,2022-07-07
US-20220215010-A1,OPTIMIZING DATABASE PERFORMANCE THROUGH INTELLIGENT DATA PARTITIONING ORCHESTRATION,Dash; Bikash,2022-07-07
US-20220217158-A1,SYSTEM FOR DETECTING AND REMEDIATING COMPUTING SYSTEM BREACHES USING COMPUTING NETWORK TRAFFIC MONITORING,Sloane; Brandon,2022-07-07
US-20220217155-A1,SYSTEM AND METHOD FOR SUSPENDING A COMPUTING DEVICE SUSPECTED OF BEING INFECTED BY A MALICIOUS CODE USING A KILL SWITCH BUTTON,Richman; Adam B. et al.,2022-07-07
US-20220217128-A1,SYSTEM AND METHOD FOR AUTHENTICATING SECONDARY USERS OF AN ENTITY SYSTEM,Sharma; Divya et al.,2022-07-07
US-20220217133-A1,Browser Extension for Validating Communications,Montgomery; Andrew Paul et al.,2022-07-07
US-20220217136-A1,IDENTITY VERIFICATION THROUGH MULTISYSTEM COOPERATION,Allen; Morgan S.,2022-07-07
US-20220216996-A1,AUTHENTICATION USING ENCRYPTED BIOMETRIC INFORMATION,Taylor; Jo-Ann,2022-07-07
US-20220216990-A1,Systems and Methods Using Distributed Ledgers to Correct for Missing One Time Passwords in Event Processing,Mukherjee; Maharaj et al.,2022-07-07
US-20220216993-A1,DOCUMENT VERIFICATION SYSTEM,Lawrence; Patrick N. et al.,2022-07-07
US-20220217306-A1,APPARATUS AND METHODS FOR REMOTE VIEW OF SAFE DEPOSIT BOX CONTENTS,Ratnakaram; Udaya Kumar Raju et al.,2022-07-07
US-20220217168-A1,DEVICE FOR MONITORING A SIMULATED ENVIRONMENT,Singh; Shailendra,2022-07-07
US-20220217169-A1,MALWARE DETECTION AT ENDPOINT DEVICES,Varanda; Ricardo,2022-07-07
US-20220214874-A1,SYSTEM FOR COMPUTER PROGRAM CODE ISSUE DETECTION AND RESOLUTION USING AN AUTOMATED PROGRESSIVE CODE QUALITY ENGINE,Jayapandy; Andrews et al.,2022-07-07
US-20220215095-A1,Detecting and Preventing Installation and Execution of Malicious Browser Extensions,Varanda; Ricardo,2022-07-07
US-20220215118-A1,LEVERAGING ENTITY DARK WEB CHATTER USING VENDOR POPULATION AS A SEARCH PROXY,Qualls; Peggy J. et al.,2022-07-07
US-20220215114-A1,SYSTEM FOR ENHANCED DATA SECURITY USING VERSIONED ENCRYPTION,Srinivas; Tatikonda,2022-07-07
US-20220215313-A1,SYSTEM FOR PREDICTIVE PRODUCT REPLACEMENT CYCLING,Castinado; Joseph Benjamin et al.,2022-07-07
US-20220215078-A1,SECURE ACCESS CONTROL FRAMEWORK USING DYNAMIC RESOURCE REPLICATION,Sloane; Brandon et al.,2022-07-07
US-20220215087-A1,DYNAMIC PASSWORD GENERATION,Bansal; Gaurav et al.,2022-07-07
US-20220215130-A1,LEVERAGING ENTITY DARK WEB CHATTER USING SLOPE OF VENDOR IDENTIFIER APPEARANCES AS A SEARCH PROXY,Edwards; Alexander T. et al.,2022-07-07
US-20220215330-A1,SYSTEM FOR DIRECTING RESOURCE TRANSFERS BASED ON RESOURCE DISTRIBUTION DATA,Castinado; Joseph Benjamin et al.,2022-07-07
US-20220215340-A1,DISTRIBUTED REGISTER PERISHABLE TRACKER ENGINE,Proud; Lee Ann et al.,2022-07-07
US-20220215375-A1,"SMART-GLASSES BASED CONTACTLESS AUTOMATED TELLER MACHINE (""ATM"") TRANSACTION PROCESSING",Gupta; Saurabh,2022-07-07
US-20220215356-A1,IMAGE-BASED ACCOUNT NUMBER GENERATOR AND IDENTIFIER,Dakshinyam; Srinivasa Rao et al.,2022-07-07
US-11379452-B2,Database tool,Jayasingh; Magaranth et al.,2022-07-05
US-11379815-B2,System for secure peer-to-peer interactions with event-based confirmation triggering mechanism,Widmann; Craig D. et al.,2022-07-05
US-11379603-B2,Big data distributed processing and secure data transferring with fallback control,Dande; Pratap et al.,2022-07-05
US-11379442-B2,Self-learning database issue remediation tool,Gandi; Rama Krishna Venkata et al.,2022-07-05
US-11381591-B2,Information security system based on multidimensional disparate user data,Brown; Stephen C. et al.,2022-07-05
US-11381972-B2,Optimizing authentication and management of wireless devices in zero trust computing environments,Kvochko; Elena et al.,2022-07-05
US-11379759-B2,Complex human-computer interactions,Yannam; Ramakrishna R. et al.,2022-07-05
US-11379697-B2,Field programmable gate array architecture for image analysis,Krishnamoorthy; Madhusudhanan,2022-07-05
US-11379748-B2,System for threshold detection using learning reinforcement,Krishnamoorthy; Madhusudhanan et al.,2022-07-05
US-11381604-B2,Resilient self-detection of malicious exfiltration of sensitive data,Mukherjee; Maharaj,2022-07-05
US-11379840-B2,Real-time configurable smart cards,Gandhi; Jesika,2022-07-05
US-11379432-B2,File management using a temporal database architecture,Lane; Joshua A. et al.,2022-07-05
US-11379765-B2,Occupancy prediction using real-time information,Winborne; Rita Jean et al.,2022-07-05
US-11381783-B1,Apparatus and methods for remote view of safe deposit box contents,Ratnakaram; Udaya Kumar Raju et al.,2022-07-05
US-11379440-B1,"Correction, synchronization, and migration of databases",Thakkalapelli; Damodarrao et al.,2022-07-05
US-11373006-B2,Processing system using natural language processing for performing dataset filtering and sanitization,Kurian; Manu et al.,2022-06-28
US-11374976-B2,System for authentication of resource actions based on multi-channel input,Lillie; Christina et al.,2022-06-28
US-11374935-B2,Block chain alias person-to-person resource allocation,Castinado; Joseph B. et al.,2022-06-28
US-11375022-B2,System for real-time management of session objects and for application programming interface (API) mocking,Shah; Priyank R.,2022-06-28
US-11372675-B2,Jobs synchronize framework,Ahammed; Jabir M. et al.,2022-06-28
US-11372982-B2,Centralized network environment for processing validated executable data based on authorized hash outputs,Albero; George et al.,2022-06-28
US-20220201016-A1,DETECTING MALICIOUS THREATS VIA AUTOSTART EXECUTION POINT ANALYSIS,Kelly; Matthew E. et al.,2022-06-23
US-20220201478-A1,INTELLIGENT METHOD FOR SIM-SWAP FRAUD DETECTION AND PREVENTION,Ratnakaram; Udaya Kumar Raju et al.,2022-06-23
US-20220198029-A1,Big Data Distributed Processing and Secure Data Transferring with Resource Allocation and Rebate,Dande; Pratap et al.,2022-06-23
US-20220198030-A1,Big Data Distributed Processing and Secure Data Transferring with Resource Allocation and Rebate,Dande; Pratap et al.,2022-06-23
US-20220198033-A1,SYSTEM AND METHOD FOR MANAGING BUILT-IN SECURITY FOR CONTENT DISTRIBUTION,Purushothaman; Sasidhar et al.,2022-06-23
US-11368452-B2,Job analytics aggregation tool,Abraham; John,2022-06-21
US-11367156-B2,System and method of allocating computing resources based on jurisdiction,Lee; Jisoo,2022-06-21
US-11366670-B2,Predictive queue control and allocation,Sharma; Anuj et al.,2022-06-21
US-11367067-B2,System for secure distribution of peer requests for resources,Dintenfass; Katherine et al.,2022-06-21
US-11367045-B2,System for validated tracking of events associated with equipment during a resource arrangement,Hill; Christine Meloro et al.,2022-06-21
US-11366687-B2,Task allocations based on color-coded representations,Krishnamoorthy; Madhusudhanan,2022-06-21
US-11366746-B2,"System for application code development build, scan, and test environment","Bragg, Jr.; Raymond B. et al.",2022-06-21
US-11368310-B2,Data transfer between computing nodes of a distributed computing system,Vasudevan; Varshini Ramiya et al.,2022-06-21
US-11366735-B2,Dynamic data storage management,Selegean; Jane et al.,2022-06-21
US-11368456-B2,User security profile for multi-media identity verification,Chauhan; Sandeep Kumar et al.,2022-06-21
US-11366901-B2,System and method for identifying insider threats in source code,"Bishop, III; Jack Lawson et al.",2022-06-21
US-11366583-B1,Computer-to-computer users# edit and event transfer and synchronization,Vyas; Ketul Sureshbhai et al.,2022-06-21
US-11366642-B1,Change migration: processes for ensuring successful deployment of design changes,Zega; Douglas,2022-06-21
US-11368289-B1,Video registration and authentication using blockchain,Kvochko; Elena,2022-06-21
US-20220191695-A1,Real-Time Authentication Using A Mobile Device on A High Generation Cellular Network,Sodano; Thomas,2022-06-16
US-20220188324-A1,SYSTEM AND METHOD FOR AUTOMATICALLY VALIDATING DATA STORED IN MULTIPLE LOCATIONS,Ramesh; Manojkumar et al.,2022-06-16
US-20220188784-A1,SYSTEM FOR IMPLEMENTING CENTRALIZED RESOURCE DISTRIBUTION FRAMEWORK,Reed; Alfred James et al.,2022-06-16
US-20220188459-A1,SYSTEM FOR DATA INTEGRITY MONITORING AND SECURITIZATION,Khare; Prashant et al.,2022-06-16
US-11361287-B2,Automated check encoding error resolution,Delker; Andrew et al.,2022-06-14
US-11361330-B2,Pattern analytics system for document presentment and fulfillment,Cantley; Kerry Michelle et al.,2022-06-14
US-11360822-B2,Intelligent resource allocation agent for cluster computing,Chauhan; Sandeep Kumar et al.,2022-06-14
US-11360961-B2,Single script solution for multiple environments,Nejad; Mohammad et al.,2022-06-14
US-11363029-B2,Big data distributed processing and secure data transferring with hyper fencing,Dande; Pratap et al.,2022-06-14
US-11361164-B2,Natural language platform for automated message processing,Oddy; Robert Julian,2022-06-14
US-11360937-B2,System for natural language processing-based electronic file scanning for processing database queries,Shukes; Scott Charles et al.,2022-06-14
US-11363106-B2,Electronic system for combination of temporal resource activity data and resource transmission,Nelluri; Govinda Rajulu,2022-06-14
US-11360952-B2,System and method for managing data migration based on analysis of relevant data,Jadhav; Shashikant Sadashiv et al.,2022-06-14
US-11363055-B2,System and methods for dynamic controlled evaluation of cloud service vulnerabilities,Bierner; Rachel Yun Kim et al.,2022-06-14
US-11361630-B1,Identifying and logging mobile devices posing security threats,Thomsen; Kevin P.,2022-06-14
US-11363048-B1,Information security system and method for security threat detection in data transmission,Srinivasan; Sriram,2022-06-14
US-11363049-B1,Information security system and method for anomaly detection in data transmission,Srinivasan; Sriram,2022-06-14
US-11363050-B1,Information security system and method for incompliance detection in data transmission,Srinivasan; Sriram,2022-06-14
US-11363000-B1,System for virtual private network authentication sensitivity with read only sandbox integration,Birch; Christopher Daniel,2022-06-14
US-11361062-B1,System and method for leveraging microexpressions of users in multi-factor authentication,Ogrinz; Michael Emil et al.,2022-06-14
US-20220179918-A1,Just-In-Time Front End Template Generation Using Logical Document Object Models,"Macxis, JR.; Mardochee et al.",2022-06-09
US-20220179722-A1,Information Management System Router,Rodecker; Richard D. et al.,2022-06-09
US-20220182230-A1,"SMARTWATCH ONE-TIME PASSWORD (""OTP"") GENERATION",Harris; Miranda N. et al.,2022-06-09
US-20220182405-A1,Real-Time Validation of Data Transmissions Based on Security Profiles,Albero; George et al.,2022-06-09
US-20220182299-A1,Network Directionality Mapping System,Nodzak; Conor Mitchell Liam et al.,2022-06-09
US-20220180338-A1,Intelligent Cash Handling,"Mattison, SR.; Paul Martin et al.",2022-06-09
US-20220180363-A1,Intelligent Cash Handling,"Mattison, SR.; Paul Martin et al.",2022-06-09
US-20220180688-A1,Intelligent Cash Handling,"Mattison, SR.; Paul Martin et al.",2022-06-09
US-20220180285-A1,Multi-Computer Processing System with Machine Learning Engine for Optimized Forecasting,Chauhan; Sandeep Kumar et al.,2022-06-09
US-20220182345-A1,Multi-Computer System for Detecting and Controlling Malicious Email,Birch; Christopher D. et al.,2022-06-09
US-20220179952-A1,Self-Defending Computing Device,Lawrence; Myles et al.,2022-06-09
US-11354672-B2,System for secure routing of data to various networks from a process data network,Kurian; Manu Jacob,2022-06-07
US-11356441-B2,Alternate user communication routing,Satija; Dharmender Kumar et al.,2022-06-07
US-11354325-B2,Methods and apparatus for a multi-graph search and merge engine,Ogrinz; Michael et al.,2022-06-07
US-11354733-B2,External entity cross-relational dynamic matching system,Kurian; Manu et al.,2022-06-07
US-11354533-B2,Computer architecture for identifying data clusters using correlithm objects and machine learning in a correlithm object processing system,Panging; Pankaj et al.,2022-06-07
US-11354492-B2,EDOC utility using non-structured-query-language databases,Shah; Anuj et al.,2022-06-07
US-11354602-B2,System and methods to mitigate poisoning attacks within machine learning systems,Kursun; Eren,2022-06-07
US-11356462-B2,Detecting and identifying devices at enterprise locations to protect enterprise-managed information and resources,Shannon; Stephen T. et al.,2022-06-07
US-11354329-B2,Systems for real-time mining of data in test and development environments,Raju; Sujata Devon et al.,2022-06-07
US-11354634-B2,System for layered digital resource distribution in an electronic network environment,England; Tony et al.,2022-06-07
US-11354269-B2,Snapshot load framework,Konduru; Sudheer et al.,2022-06-07
US-11356244-B2,Graphical user interface using continuous authentication and encryption for selective display of data,Yarabolu; Vijay Kumar,2022-06-07
US-11354640-B2,Dynamically authorizing and processing contactless events,Ratnakaram; Udaya Kumar Raju et al.,2022-06-07
US-11354110-B2,System and method using natural language processing to synthesize and build infrastructure platforms,Jonna; Aruna et al.,2022-06-07
US-11354161-B2,Controlling memory utilization by a topic in a publish-subscribe environment,Iyer; Venkatraman Nagarajan et al.,2022-06-07
US-11356266-B2,User authentication using diverse media inputs and hash-based ledgers,Chauhan; Sandeep Kumar et al.,2022-06-07
US-11356506-B2,System for optimizing data acceptance and data storage in a distributed computing network,Mamadapur; Krishna Rangarao et al.,2022-06-07
US-11354227-B2,Conducting software testing using dynamically masked data,Lightowler; Ben et al.,2022-06-07
US-11356390-B1,Multi-dimensional/multi-actor conversational bot,Shanmugam; Maruthi Z. et al.,2022-06-07
US-20220174064-A1,SPLIT-TIERED POINT-TO-POINT INLINE AUTHENTICATION ARCHITECTURE,Bhashetty; Mahesh Kumar et al.,2022-06-02
US-20220172514-A1,Monitoring Devices at Enterprise Locations Using Machine-Learning Models to Protect Enterprise-Managed Information and Resources,Shannon; Stephen T. et al.,2022-06-02
US-20220172515-A1,Monitoring Devices at Enterprise Locations Using Machine-Learning Models to Protect Enterprise-Managed Information and Resources,Shannon; Stephen T. et al.,2022-06-02
US-20220172516-A1,Monitoring Devices at Enterprise Locations Using Machine-Learning Models to Protect Enterprise-Managed Information and Resources,Shannon; Stephen T. et al.,2022-06-02
US-20220171882-A1,DETECTING UNAUTHORIZED ACTIVITY RELATED TO A DEVICE BY MONITORING SIGNALS TRANSMITTED BY THE DEVICE,Young; Michael R. et al.,2022-06-02
US-11348133-B2,Enhanced automatic savings program,Tucker; Faith A. et al.,2022-05-31
US-11347969-B2,Computer architecture for training a node in a correlithm object processing system,Lawrence; Patrick N.,2022-05-31
US-11349778-B2,System for increasing processing efficiency through automated resource field transformation,Castinado; Joseph Benjamin et al.,2022-05-31
US-11347845-B2,System and methods to prevent poisoning attacks in machine learning systems in real time,Kursun; Eren,2022-05-31
US-11347884-B2,Data security tool,Narayanan; Rajesh et al.,2022-05-31
US-11347627-B2,System for customization of software platforms for implementation in legacy systems,Proud; Lee Ann et al.,2022-05-31
US-11348121-B2,Multi-source anomaly detection and automated dynamic resolution system,Albero; George et al.,2022-05-31
US-11348084-B2,Entity recognition system,Doherty; Daniel James et al.,2022-05-31
US-11350185-B2,Text-to-audio for interactive videos using a markup language,Sangoli; Shankar,2022-05-31
US-11347526-B2,Computer architecture for representing phase and frequency components using correlithm objects in a correlithm object processing system,Lawrence; Patrick N.,2022-05-31
US-11348415-B2,Cognitive automation platform for providing enhanced automated teller machine (ATM) security,Sanghvi; Siten,2022-05-31
US-11349957-B2,Automatic knowledge management for data lineage tracking,Selegean; Jane,2022-05-31
US-11347500-B2,Software code converter for resolving conflicts during code development,Krishnamoorthy; Madhusudhanan et al.,2022-05-31
US-11348041-B2,System for predictive resource access within a technical environment,Sellers; John Allen et al.,2022-05-31
US-11349755-B2,Routing data between computing entities using electronic data interchange,Rangarajan; Prabakar et al.,2022-05-31
US-11347579-B1,Instinctive slither application assessment engine,Curtokar; Sharvari Pratik et al.,2022-05-31
US-11348617-B1,System for implementing content retrofitting using information vectorization,Krishnamoorthy; Madhusudhanan et al.,2022-05-31
US-20220164278-A1,SYSTEM AND METHOD FOR AUTOMATED TESTING OF AN ACCESSIBILITY FEATURE OF A USER DEVICE BY EMULATING ACTIONS OF USERS,Coffin; Robert Christopher et al.,2022-05-26
US-20220164358-A1,IDENTIFYING USERS OF INTEREST VIA ELECTRONIC MAIL AND SECONDARY DATA ANALYSIS,"Bishop, III; Jack Lawson et al.",2022-05-26
US-20220164740-A1,OCCUPANCY PREDICTION USING REAL-TIME INFORMATION,Winborne; Rita Jean et al.,2022-05-26
US-20220166872-A1,Voice Analysis Platform for Voiceprint Tracking and Anomaly Detection,Ramsue; Charlene L. et al.,2022-05-26
